"longitude","latitude","school_code","countyMatch","isSchool"
-122.1344772,37.4500667,6048292,0,1
-121.9883653,37.3289062,6046809,1,1
-121.9856533,37.3040205,6047765,1,1
-121.8033216,37.2623437,6048128,1,1
-122.0713186,37.3883726,6047963,1,1
-122.1304043,37.4255792,6048235,1,1
-121.5853042,37.0078987,6047294,1,1
-121.6492947,37.1352753,6109375,1,1
-121.9718697,37.3632439,143001,1,0
-121.9718697,37.3632439,143101,1,0
-121.5614399,37.0066783,6047302,1,1
-122.0239663,37.3695006,6049191,1,1
-121.8755193,37.3546927,6048516,1,1
-121.865375,37.261577,6048524,1,1
-122.1553109,37.4215229,6048250,1,1
-121.8389139,37.37807,4330726,1,1
-121.7895406,37.3280716,6102081,1,1
-121.7895406,37.3280716,6047138,1,1
-122.1172721,37.4224519,6048268,1,1
-121.9909328,37.3962683,6049217,1,1
-121.9248147,37.2714433,6046445,1,1
-122.0396265,37.3209263,6047112,1,1
-121.9438353,37.2607194,6046452,1,1
-122.034404,37.2660545,6049084,1,1
-121.9825106,37.2760185,6046577,1,1
-122.075221,37.374332,6047971,1,1
-121.8519112,37.3047222,6047195,1,1
-121.8368618,37.2473573,6048110,1,1
-121.8198735,37.2850969,6047203,1,1
-122.0450094,37.3307236,6046841,1,1
-121.8958036,37.3213225,6048532,1,1
-121.9670176,37.2969475,6047799,1,1
-121.9672389,37.424572,6048870,1,1
-121.5700859,37.0145716,123760,1,1
-121.5737734,37.0004128,6047310,1,1
-121.8238442,37.2329918,6048144,1,1
0,0,6046163,0,0
-121.887753,37.350647,6048540,1,1
-121.8372381,37.2114615,6093082,1,1
-122.1059368,37.4173677,6048300,1,1
0,0,9843005,0,0
-121.8969314,37.2287689,6049357,1,1
-121.883218,37.2695342,6048722,1,1
-121.8851669,37.302558,6048565,1,1
-121.8851669,37.302558,443001,1,1
-121.8272163,37.2621229,6099451,1,1
-122.1431815,37.4430888,6048409,1,1
-121.9671301,37.2768212,6046593,1,0
-121.9238444,37.332074,6048201,1,1
-121.914062,37.3341746,6048581,1,1
-121.7984881,37.3197893,6047146,1,1
-121.8852558,37.3395996,6048599,1,1
-121.8387115,37.3305538,6046270,1,1
-121.963904,37.4051543,6048896,1,1
-121.799695,37.3467474,6048045,1,1
-121.6054002,37.1376872,6098263,1,1
-121.7871034,37.2966051,43001,1,1
-121.7871034,37.2966051,6117956,1,1
-121.8395643,37.3210991,6109433,1,1
-121.8012016,37.3066013,6095988,1,1
-122.0197693,37.2998472,6046908,1,1
-121.8698071,37.42315,6047625,1,1
-121.9057966,37.4581813,6047633,1,1
-121.8220259,37.3268087,6047153,1,1
-121.5922941,37.0210156,6106991,1,1
-121.85129,37.3255229,6067201,1,1
-122.0188594,37.1934333,6047351,1,1
-122.0034206,37.3971661,6049233,1,1
-121.8711803,37.4141312,6046361,1,1
-121.580445,36.989697,6047328,1,1
-121.97802,37.2921672,6047823,1,1
-121.97802,37.2921672,129940,1,1
-122.0022384,37.3431016,6048904,1,1
-122.0022384,37.3431016,6071534,1,1
0,0,107748,0,0
-121.762147,37.243258,6116081,1,1
-121.9897788,37.1802929,6047534,1,1
-121.9021511,37.2438233,6049373,1,1
-121.8237441,37.3773893,6046213,1,1
-121.9346796,37.1235579,6047369,0,0
-121.9107882,37.2438327,6049381,1,0
-121.8802103,37.2283561,6093074,1,1
-121.8317074,37.286599,6047237,1,1
-121.7694581,37.2276269,6095392,1,1
-122.0283576,37.3443245,6046957,1,1
-121.9667882,37.2305393,6047542,1,1
-121.877701,37.3295273,6048649,1,1
-122.0927109,37.3605178,6047450,1,1
-122.1563196,37.4143374,6068241,1,1
-121.6044144,37.0249465,6047286,1,1
-121.8249393,37.3599992,6046221,1,1
-121.9598251,37.3109535,6046601,1,1
-121.8580401,37.4104307,6095343,1,1
-121.996433,37.2626203,6046619,1,1
-121.9026748,37.4536562,6047641,1,1
-121.76619,37.3117843,6115851,1,1
-121.8331309,37.3818314,6046254,1,1
-121.8615561,37.3375638,6047245,1,1
-121.9251601,37.3301216,6048656,1,1
-122.0264295,37.3064954,6047047,1,1
-121.7877758,37.3194803,6105787,1,1
-121.977704,37.3330591,6048920,1,1
-121.8185387,37.2492874,6048136,1,1
-122.0985234,37.4089391,6049480,1,1
-121.945978,37.389252,6048938,1,1
-122.0819235,37.3426669,6046981,1,1
-121.8104304,37.3550584,6048060,1,1
-121.7914317,37.3397824,6067227,1,1
-121.9987066,37.3038999,6047039,1,1
-121.8395367,37.3949418,6046379,1,1
-121.9137842,37.2382523,6049407,1,1
-121.6265271,37.1348261,6047914,1,1
-121.8813289,37.4090273,6046387,1,1
-121.8252122,37.3157036,6047161,1,1
-122.0716342,37.3571941,6047468,1,1
-121.8203823,37.2410553,6088306,1,1
-122.1233242,37.4392122,6048243,1,1
-121.866108,37.337472,6048698,1,1
-121.9018843,37.3889355,6048185,1,1
-121.9201995,37.2559408,6049415,1,1
-121.661804,37.127491,6047922,1,1
-122.1144096,37.4309694,6048359,1,1
-121.6477209,37.1071104,6098271,1,1
-121.8456285,37.2714633,6093066,1,1
-121.905804,37.4075715,6067219,1,1
-121.9869959,37.3479554,6048987,1,1
-122.0086974,37.3629811,6048995,1,1
-121.8116211,37.2958706,108696,1,1
-121.9818242,37.2276209,6093108,1,0
-121.8943262,37.263628,6048664,1,1
-122.0478044,37.3035479,6047054,1,1
-121.85129,37.3255229,6069201,1,1
-121.9014432,37.3106361,6048672,1,1
-121.8006643,37.352437,6048078,1,1
0,0,129262,0,0
-121.8214085,37.3540639,125781,1,1
-121.8774298,37.3133761,125799,1,1
-121.8387763,37.352072,123281,1,1
-121.8559497,37.3291011,123299,1,1
-121.8521168,37.3447583,120642,1,1
-121.8864989,37.3217766,113704,1,1
-121.8774298,37.3133761,119024,1,1
-121.8224278,37.2882568,128108,1,1
-121.8131569,37.345263,6046346,1,1
-121.9550929,37.2946887,6046676,1,1
-121.587199,37.0541289,6047336,1,1
-121.856584,37.4001294,6067177,1,1
-121.8235248,37.3498741,6046320,1,1
-121.83913,37.230533,6072144,1,1
-121.7889925,37.2300979,6072169,1,1
-121.596947,37.081944,6047948,1,1
-122.008023,37.391377,6049282,1,1
-117.0394858,32.5611794,6047344,0,1
-121.9002343,37.383909,6069371,1,1
-122.12219,37.3940678,6047492,1,1
-121.7952196,37.2346755,6067243,1,1
-121.8473654,37.3288527,6047252,1,1
-122.001051,37.292373,6049100,1,1
-121.910478,37.2609233,6046494,1,1
-121.8878512,37.2805668,6048680,1,1
-121.959441,37.3582327,6049019,1,1
-121.9253518,37.310014,6046692,1,1
-121.836358,37.369403,6046205,1,1
-121.8445203,37.3173563,6115943,1,1
-121.7602944,37.2800565,6111942,1,1
-121.8691255,37.22049,6048706,1,1
-122.0609855,37.393952,6047997,1,1
-121.8350616,37.3265672,6046171,1,1
-122.0945358,37.3713306,6047500,1,1
-122.063792,37.3283993,6047088,1,1
-122.0838283,37.403797,6049464,1,1
-121.8056355,37.2715899,6048177,1,1
-121.8374905,37.3088695,6071542,1,1
-121.8399184,37.3212044,111849,1,1
-121.8511462,37.3900727,6095350,1,1
-121.9866963,37.333997,6049027,1,1
-121.8085248,37.2303998,6097430,1,1
-121.8694253,37.2704899,6048714,1,1
-122.0843647,37.4053522,6049514,1,1
-121.838124,37.3905872,6046403,1,1
-121.9251601,37.3301216,743001,1,1
-122.048853,37.3814604,6049159,1,1
-121.951387,37.332268,106005,1,0
-121.8728985,37.3801455,6093041,1,1
-121.8812984,37.3211268,6048748,1,1
-121.8812984,37.3211268,6049035,1,1
-122.0616507,37.3409177,6047104,1,1
-121.9611397,37.3330546,6049043,1,1
-121.8515333,37.2077983,6048755,1,1
-121.8971717,37.3024917,6048763,1,1
-121.8242981,37.3063536,6105795,1,1
-121.7683951,36.9257124,6049704,1,1
-121.7315921,36.9606058,6049829,1,1
-122.0123137,36.9810239,4430195,1,1
-121.7682522,36.9458536,6049639,1,1
-121.7434825,36.925743,6117253,1,1
-122.039918,36.965726,6049860,1,1
-122.1485608,37.0612952,6049563,1,1
-122.1245702,37.1226802,6049837,1,1
-121.807852,36.9760289,6049662,1,1
-122.0095089,36.9837109,6049878,1,1
-122.0307591,37.0166465,6049936,1,1
-111.013157,31.5042257,6049670,0,1
-121.9479765,36.9788989,6049969,1,1
-122.0598556,36.960513,6119077,1,1
-121.9960241,36.9907475,6049886,1,1
-121.9848066,36.9656303,6114102,1,1
-121.9960241,36.9907475,6049885,1,1
-121.7813417,36.9306907,6049696,1,1
-122.0085989,36.9762352,6049894,1,1
-121.987114,36.983968,6049597,1,1
-121.9912877,37.0246118,6049571,1,1
-121.776179,36.912782,102673,1,1
-121.7500899,36.9104664,6049720,1,1
-121.981873,36.974993,6049605,1,1
-121.7518261,36.9266335,6049803,1,1
-121.9524671,36.9928589,6111421,1,1
-121.9196039,36.9853788,6049738,1,1
-121.7538932,36.9195568,6049746,1,1
-122.0137559,36.9809799,6108203,1,1
-121.9493176,37.026354,6049613,1,1
